x,y,z,xt,yt,zt
0.110491, -0.059734, -1.231555, , , 
0.133617, -0.078514, -1.232124, , , 
0.519024, -0.632197, -1.753322, , , 
-0.030127, -0.492355, -1.539217, , , 
-0.238656, -0.690407, -1.778468, , , 
0.046099, 0.160697, -1.053678, , , 
-0.317986, -0.358470, -1.529378, , , 
-0.077907, -0.328164, -1.474438, , , 
-0.217695, -0.322904, -1.520166, , , 
0.578745, -0.216324, -1.293310, , , 
0.328008, -0.158589, -1.227298, , , 
0.680966, -0.446622, -1.380597, , , 
0.101564, 0.039208, -1.168173, , , 
0.131063, 0.122418, -1.078960, , , 
-0.342236, -0.613768, -1.714232, , , 
0.253532, 0.102462, -0.978673, , , 
0.383494, 0.043932, -1.082569, , , 
0.334567, -0.272251, -1.323347, , , 
0.245639, 0.015894, -0.949441, , , 
0.432205, 0.036147, -1.016143, , , 
0.027393, -0.129779, -1.262145, , , 
0.280699, -0.216994, -1.282802, , , 
0.419669, -0.158690, -1.211983, , , 
0.294750, -0.501448, -1.628798, , , 
0.285029, -0.588755, -1.709200, , , 
0.149002, 0.173110, -1.035725, , , 
0.432798, 0.010301, -1.083514, , , 
-0.164373, -0.096720, -1.242031, , , 
-0.297770, -0.550681, -1.714251, , , 
0.481916, -0.310733, -1.427322, , , 
0.173607, -0.116192, -1.027699, , , 
-0.013757, 0.194282, -1.035375, , , 
-0.136660, 0.062427, -1.136133, , , 
-0.002079, 0.082266, -1.092467, , , 
0.401240, 0.202510, -0.989756, , , 
0.438888, 0.291291, -0.919898, , , 
0.258144, 0.146817, -1.028205, , , 
0.313527, 0.008227, -0.932691, , , 
-0.139538, -0.207297, -1.334435, , , 
0.428885, 0.034996, -1.016396, , , 
0.190646, -0.093141, -1.210029, , , 
0.243800, 0.066543, -0.948898, , , 
0.291878, -0.039402, -0.956311, , , 
0.315931, -0.009911, -0.926157, , , 
0.195953, 0.045520, -1.010428, , , 
0.283561, 0.228740, -0.986266, , , 
0.210743, -0.050600, -0.980787, , , 
0.056399, 0.093818, -1.115467, , , 
-0.006599, 0.082643, -1.088206, , , 
-0.128868, 0.283780, -0.946166, , , 
0.001901, 0.298033, -0.940434, , , 
0.185269, -0.119683, -1.085626, , , 
0.075489, -0.002543, -1.172485, , , 
0.243702, 0.014124, -0.949740, , , 
0.090010, 0.124877, -1.079198, , , 
0.244895, 0.063889, -0.953611, , , 
0.280249, 0.211197, -0.949038, , , 
-0.106569, 0.176235, -0.976972, , , 
0.242686, 0.010771, -0.953968, , , 
0.384350, -0.334098, -1.394228, , , 
0.397600, 0.003984, -1.058519, , , 
0.211925, -0.048877, -1.033384, , , 
0.186855, -0.116133, -1.106009, , , 
0.032950, 0.161830, -1.066649, , , 
0.103589, 0.110994, -1.082245, , , 
0.277452, 0.220350, -0.925202, , , 
0.006992, 0.294452, -0.933125, , , 
-0.108307, 0.175159, -0.985777, , , 
0.024017, 0.025836, -1.143543, , , 
0.439656, 0.291855, -0.923380, , , 
0.402668, 0.203030, -1.000242, , , 
0.439346, 0.182206, -1.021212, , , 
0.089062, -0.037285, -1.213311, , , 
0.244445, 0.231664, -0.977968, , , 
-0.006804, 0.083182, -1.090293, , , 
0.022046, 0.025582, -1.133693, , , 
0.466373, -0.025892, -1.063486, , , 
0.002396, 0.199731, -1.026953, , , 
-0.000240, -0.547070, -1.589745, , , 
0.025913, -0.128382, -1.255035, , , 
-0.012101, 0.188508, -1.034590, , , 
0.343384, 0.087472, -1.066057, , , 
-0.131146, -0.143608, -1.283392, , , 
0.024032, -0.127477, -1.258958, , , 
0.386163, -0.050816, -1.074670, , , 
-0.070212, -0.130269, -1.267279, , , 
-0.068904, -0.329949, -1.467893, , , 
-0.127361, 0.284583, -0.949134, , , 
-0.158455, -0.102592, -1.239704, , , 
0.193572, -0.101285, -1.123435, , , 
-0.046607, 0.084800, -1.086087, , , 
-0.198767, 0.186499, -1.022246, , , 
0.105869, 0.021782, -1.163674, , , 
0.470990, -0.047763, -1.120494, , , 
-0.004213, -0.162847, -1.286510, , , 
0.299433, -0.038350, -0.959772, , , 
-0.132425, -0.146169, -1.291319, , , 
0.396031, 0.002449, -1.052614, , , 
0.492464, -0.090188, -1.087407, , , 
